,7,7,5,5,14,14,13,13,15,15,18,18,4,4,6,6,17,17,10,10,16,16,8,8,3,3,2,2,11,11,12,12,1,1,9,9
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,bubble,0.325,trading,0.344,consumption,0.478,cascade,0.443,murphy,0.374,institution,0.369,liquidity,0.477,fund,0.626,subprime,0.26,pattern,0.359,firm,0.335,option,0.473,capm,0.411,return,0.366,rate,0.397,fund,0.653,efficient,0.475,liquidity,0.39
1,attention,0.284,investment,0.246,dividend,0.282,informational,0.388,agency,0.327,per,0.231,stock,0.341,mutual,0.323,credit,0.25,intraday,0.333,country,0.242,solution,0.263,return,0.369,stock,0.334,exchange,0.346,mutual,0.323,ask,0.237,arbitrage,0.324
2,stock,0.28,stock,0.246,ratio,0.271,behavior,0.254,jensen,0.327,china,0.211,return,0.299,performance,0.265,mortgage,0.234,variability,0.333,debt,0.235,stochastic,0.263,section,0.277,characteristic,0.2,forward,0.346,incentive,0.259,bid,0.237,funding,0.318
3,price,0.23,investor,0.242,stock,0.242,individual,0.181,top,0.327,india,0.211,sensitivity,0.262,flow,0.245,securitization,0.208,volume,0.292,authority,0.207,volatility,0.246,assume,0.235,book,0.199,econometric,0.303,company,0.194,ferson,0.237,market,0.309
4,asset,0.197,percent,0.23,rate,0.21,ahead,0.148,fama,0.294,worker,0.211,momentum,0.194,actively,0.164,firm,0.189,trader,0.262,structure,0.198,black,0.2,static,0.235,market,0.187,hansen,0.303,maximize,0.164,harvey,0.237,asset,0.214
5,agent,0.187,common,0.189,return,0.189,bikhchandani,0.148,incentive,0.294,difference,0.189,expected,0.159,managed,0.164,standard,0.159,result,0.205,manager,0.165,currency,0.2,cross,0.233,strategy,0.171,hodrick,0.303,riskiness,0.164,implicit,0.237,trader,0.167
6,trading,0.187,performance,0.172,model,0.181,conformity,0.148,management,0.294,country,0.184,factor,0.136,rational,0.108,code,0.156,theory,0.191,investment,0.155,scholes,0.2,conditional,0.206,firm,0.156,spot,0.303,shape,0.164,review,0.237,capital,0.134
7,buyer,0.171,annual,0.16,real,0.177,cultural,0.148,pay,0.294,european,0.184,measure,0.136,search,0.108,error,0.156,price,0.168,law,0.141,technique,0.2,beta,0.185,investment,0.145,predictor,0.273,increase,0.129,roll,0.237,financial,0.13
8,volume,0.171,hazardous,0.16,discount,0.172,custom,0.148,firm,0.247,output,0.184,average,0.127,investor,0.104,zip,0.156,admati,0.167,capital,0.139,bond,0.175,wealth,0.156,fund,0.132,analysis,0.249,relationship,0.118,market,0.213,shleifer,0.125
9,investor,0.164,household,0.16,market,0.126,deposit,0.148,problem,0.214,manufacturing,0.158,daily,0.111,ability,0.097,data,0.149,concerning,0.167,protection,0.138,closed,0.175,aggregate,0.144,momentum,0.127,future,0.229,flow,0.109,spread,0.208,model,0.114
10,equilibrium,0.153,individual,0.147,asset,0.114,dybvig,0.148,theory,0.214,misallocation,0.158,estimated,0.111,management,0.097,crisis,0.13,endogenously,0.167,decision,0.121,spot,0.175,stock,0.144,equity,0.117,optimal,0.213,growth,0.101,effective,0.187,value,0.114
11,belief,0.13,return,0.143,price,0.114,fad,0.148,performance,0.201,mortality,0.158,exceeds,0.111,predictable,0.097,lender,0.13,partial,0.167,shareholder,0.121,model,0.161,average,0.135,average,0.114,,,performance,0.088,fama,0.187,capacity,0.106
12,speculative,0.13,discount,0.14,data,0.113,fashion,0.148,,,tfp,0.158,furthermore,0.111,average,0.094,shock,0.13,pfleiderer,0.167,fixed,0.115,correlation,0.158,time,0.135,risk,0.112,,,portfolio,0.088,work,0.187,leading,0.106
13,individual,0.12,motivated,0.14,future,0.112,fragility,0.148,,,different,0.124,half,0.111,manager,0.088,financial,0.128,strategic,0.167,formal,0.115,form,0.158,consensus,0.118,portfolio,0.107,,,investor,0.083,economic,0.17,liquidation,0.106
14,volatility,0.12,odean,0.14,long,0.112,insurance,0.148,,,united,0.124,induces,0.111,open,0.082,different,0.123,arise,0.146,ownership,0.115,asset,0.152,include,0.118,mutual,0.1,,,alter,0.082,simple,0.17,margin,0.106
15,buying,0.114,portfolio,0.129,wealth,0.112,localized,0.148,,,state,0.114,marketwide,0.111,salient,0.082,loan,0.114,recent,0.146,project,0.115,price,0.152,performs,0.118,past,0.1,,,chevalier,0.082,premium,0.157,requires,0.106
16,news,0.114,hold,0.126,risk,0.107,mass,0.148,,,capital,0.106,monthly,0.111,active,0.072,borrower,0.104,transaction,0.146,cash,0.109,allows,0.1,remain,0.118,cross,0.096,,,concern,0.082,measure,0.146,buyer,0.093
17,choice,0.102,tax,0.126,aggregate,0.104,preceding,0.148,,,endogenous,0.105,order,0.111,consumer,0.072,screening,0.104,concentrated,0.131,choice,0.109,application,0.1,satisfactorily,0.118,size,0.096,,,conflict,0.082,variation,0.146,depends,0.093
18,overconfidence,0.102,account,0.115,growth,0.104,regard,0.148,,,infrastructure,0.105,pastor,0.111,end,0.072,well,0.104,develops,0.131,real,0.109,applied,0.1,sense,0.118,overreaction,0.091,,,creates,0.082,theory,0.136,ease,0.093
19,pay,0.102,wealth,0.106,run,0.101,welch,0.148,,,marginal,0.105,principle,0.111,investing,0.072,bank,0.102,finding,0.131,corporate,0.107,arbitrary,0.1,specification,0.118,price,0.091,,,dependent,0.082,empirical,0.128,including,0.093
20,even,0.093,large,0.098,variable,0.088,without,0.148,,,product,0.105,relies,0.111,least,0.072,state,0.093,informed,0.131,result,0.099,heston,0.1,wang,0.118,relation,0.091,,,ellison,0.082,capital,0.12,professional,0.093
21,sell,0.093,high,0.092,volatility,0.086,argue,0.129,,,productivity,0.105,reversal,0.111,model,0.066,borrowing,0.091,article,0.12,control,0.092,introduce,0.1,weighted,0.118,volatility,0.089,,,inflow,0.082,risk,0.113,debt,0.083
22,future,0.086,avoid,0.08,campbell,0.084,diamond,0.129,,,romer,0.105,sectionally,0.111,cash,0.065,default,0.091,trading,0.12,find,0.092,liability,0.1,explaining,0.103,value,0.088,,,judgment,0.082,,,industry,0.083
23,behavior,0.075,broker,0.08,habit,0.084,follow,0.129,,,social,0.105,stambaugh,0.111,predictor,0.065,intermediary,0.091,explanation,0.11,legal,0.092,skewness,0.1,general,0.103,short,0.086,,,manner,0.082,,,leverage,0.083
24,high,0.075,brokerage,0.08,version,0.084,hirshleifer,0.129,,,across,0.097,risk,0.106,prior,0.065,small,0.089,provide,0.11,organization,0.092,strike,0.1,jagannathan,0.103,anomaly,0.079,,,response,0.082,,,likely,0.083
25,small,0.075,disposition,0.08,equity,0.081,occurs,0.129,,,effect,0.097,annually,0.097,higher,0.059,increase,0.082,liquidity,0.102,bank,0.09,show,0.095,measuring,0.103,earnings,0.079,,,semiparametric,0.082,,,number,0.083
26,model,0.07,earns,0.08,observable,0.074,action,0.116,,,extent,0.092,exposure,0.097,many,0.059,work,0.082,behavior,0.096,sensitivity,0.09,return,0.09,proxy,0.103,right,0.079,,,september,0.082,,,vishny,0.083
27,accompanied,0.065,evident,0.08,dynamic,0.066,bank,0.116,,,labor,0.092,investigates,0.097,return,0.055,effect,0.08,data,0.096,bond,0.081,bias,0.088,unable,0.103,higher,0.078,,,risk,0.078,,,risk,0.076
28,acquires,0.065,house,0.08,free,0.066,explained,0.116,,,rate,0.091,adjusted,0.087,one,0.054,large,0.08,empirical,0.09,financing,0.081,derive,0.088,vary,0.103,low,0.078,,,return,0.074,,,security,0.076
29,already,0.065,justified,0.08,puzzle,0.066,run,0.106,,,estimate,0.083,fluctuation,0.087,across,0.05,liquidity,0.08,,,right,0.081,european,0.088,constant,0.092,asset,0.073,,,agency,0.072,,,provide,0.07
30,among,0.065,losing,0.08,expected,0.061,change,0.098,,,income,0.076,greater,0.087,cost,0.05,additional,0.078,,,significantly,0.081,explaining,0.088,hold,0.092,investor,0.073,,,december,0.072,,,across,0.065
31,believe,0.065,message,0.08,yield,0.061,observed,0.098,,,policy,0.076,profit,0.087,information,0.05,correction,0.078,,,flow,0.076,foreign,0.088,human,0.092,long,0.072,,,decrease,0.072,,,ante,0.053
32,caught,0.065,penalty,0.08,forecast,0.056,information,0.091,,,lower,0.07,strategy,0.087,high,0.047,expansion,0.078,,,company,0.072,apply,0.079,expected,0.084,sectional,0.072,,,desire,0.072,,,becomes,0.053
33,confirm,0.065,realize,0.08,log,0.056,liquidity,0.091,,,factor,0.065,variable,0.087,period,0.047,intermediation,0.078,,,determinant,0.072,characteristic,0.079,premium,0.078,fama,0.071,,,end,0.072,,,best,0.053
34,continuous,0.065,realizing,0.08,premium,0.056,optimal,0.091,,,large,0.065,account,0.08,well,0.047,lending,0.078,,,rule,0.072,function,0.079,explain,0.072,model,0.068,,,like,0.072,,,brunnermeier,0.053
35,day,0.065,rebalance,0.08,resolution,0.056,theory,0.085,,,level,0.065,low,0.08,portfolio,0.044,researcher,0.078,,,shleifer,0.072,simulation,0.079,study,0.072,growth,0.067,,,take,0.072,,,certain,0.053
36,determine,0.065,record,0.08,shiller,0.056,,,,,variation,0.065,percent,0.08,act,0.041,correlated,0.075,,,cost,0.071,call,0.072,well,0.067,security,0.065,,,taking,0.072,,,cheap,0.053
37,difficulty,0.065,reluctant,0.08,slow,0.056,,,,,accumulation,0.053,state,0.08,american,0.041,difference,0.075,,,effect,0.071,based,0.066,empirical,0.063,benchmark,0.063,,,would,0.072,,,circumstance,0.053
38,disagreement,0.065,soon,0.08,tested,0.056,,,,,acemoglu,0.053,cross,0.073,anomalous,0.041,income,0.075,,,investor,0.07,corporate,0.066,portfolio,0.063,bias,0.063,,,action,0.065,,,commonality,0.053
39,divergence,0.065,subsequent,0.08,variation,0.052,,,,,adopted,0.053,flow,0.073,another,0.041,percent,0.075,,,allocation,0.069,important,0.066,value,0.063,french,0.063,,,adjusted,0.065,,,condition,0.053
40,episode,0.065,taxable,0.08,claim,0.049,,,,,africa,0.053,important,0.073,appears,0.041,evidence,0.069,,,civil,0.069,interest,0.066,capital,0.059,public,0.063,,,date,0.065,,,conducted,0.053
41,exceed,0.065,tendency,0.08,countercyclical,0.049,,,,,attainment,0.053,lower,0.073,assumed,0.041,affect,0.068,,,corporation,0.069,pricing,0.062,risk,0.056,rational,0.063,,,estimate,0.065,,,conversely,0.053
42,glitter,0.065,tilt,0.08,expectation,0.049,,,,,calculate,0.053,related,0.073,asymmetrically,0.041,availability,0.068,,,financially,0.069,problem,0.057,market,0.053,titman,0.063,,,examines,0.065,,,driver,0.053
43,grabbing,0.065,toward,0.08,hansen,0.049,,,,,captured,0.053,size,0.073,aware,0.041,business,0.068,,,hart,0.069,rate,0.057,,,two,0.063,,,however,0.065,,,dry,0.053
44,harrison,0.065,tremendous,0.08,horizon,0.049,,,,,caput,0.053,whether,0.073,base,0.041,ease,0.068,,,nonoil,0.069,,,,,high,0.062,,,examine,0.059,,,eliminate,0.053
45,hypothesize,0.065,winning,0.08,phenomenon,0.049,,,,,closer,0.053,aggregate,0.068,complex,0.041,method,0.068,,,oil,0.069,,,,,also,0.06,,,holding,0.059,,,entail,0.053
46,incomplete,0.065,active,0.07,premia,0.049,,,,,colonial,0.053,individual,0.068,considerable,0.041,tie,0.068,,,style,0.069,,,,,based,0.06,,,income,0.059,,,explore,0.053
47,kreps,0.065,analyzing,0.07,stochastic,0.049,,,,,colonization,0.053,pricing,0.068,exert,0.041,two,0.068,,,value,0.062,,,,,beta,0.057,,,manager,0.059,,,flight,0.053
48,limited,0.065,annually,0.07,uncertainty,0.049,,,,,colony,0.053,study,0.068,exist,0.041,price,0.066,,,appear,0.061,,,,,common,0.057,,,potential,0.059,,,focusing,0.053
49,merton,0.065,barber,0.07,wide,0.049,,,,,comparative,0.053,data,0.064,exists,0.041,growth,0.064,,,evidence,0.061,,,,,implication,0.057,,,sample,0.059,,,illiquidity,0.053
50,opinion,0.065,central,0.07,behavior,0.048,,,,,could,0.053,find,0.064,fast,0.041,around,0.061,,,constrained,0.06,,,,,section,0.057,,,consistent,0.054,,,ineffective,0.053
51,optimistic,0.065,december,0.07,time,0.048,,,,,defined,0.053,high,0.064,fastest,0.041,estimate,0.061,,,decrease,0.06,,,,,term,0.057,,,observed,0.054,,,interesting,0.053
52,potentially,0.065,demonstrate,0.07,better,0.044,,,,,development,0.053,period,0.064,fee,0.041,incentive,0.061,,,finance,0.06,,,,,effect,0.056,,,investment,0.051,,,link,0.053
53,purchasing,0.065,desire,0.07,component,0.044,,,,,educational,0.053,well,0.064,gathering,0.041,number,0.061,,,power,0.06,,,,,factor,0.056,,,period,0.047,,,move,0.053
54,scheinkman,0.065,earn,0.07,constant,0.044,,,,,enormously,0.053,value,0.06,growing,0.041,relative,0.061,,,optimal,0.057,,,,,information,0.056,,,model,0.044,,,mutually,0.053
55,searching,0.065,loser,0.07,excess,0.044,,,,,equalize,0.053,asset,0.056,grown,0.041,generate,0.056,,,common,0.054,,,,,pricing,0.056,,,value,0.044,,,noise,0.053
56,substantially,0.065,poor,0.07,explains,0.044,,,,,equator,0.053,market,0.05,gruber,0.041,relationship,0.056,,,different,0.054,,,,,result,0.056,,,show,0.039,,,obtain,0.053
57,sufficient,0.065,priced,0.07,fluctuation,0.044,,,,,establishment,0.053,,,included,0.041,analyze,0.052,,,examines,0.054,,,,,daniel,0.054,,,,,,,pedersen,0.053
58,tend,0.065,resulting,0.07,implication,0.044,,,,,extractive,0.053,,,inferior,0.041,asset,0.052,,,finding,0.054,,,,,domestic,0.054,,,,,,,peer,0.053
59,thousand,0.065,suboptimal,0.07,poorly,0.044,,,,,faced,0.053,,,introduction,0.041,conduct,0.052,,,leverage,0.054,,,,,governance,0.054,,,,,,,people,0.053
60,tobin,0.065,trade,0.07,short,0.044,,,,,gain,0.053,,,lack,0.041,distribution,0.052,,,vishny,0.054,,,,,home,0.054,,,,,,,price,0.053
61,valuation,0.065,winner,0.07,term,0.044,,,,,gap,0.053,,,lie,0.041,drop,0.052,,,data,0.053,,,,,jegadeesh,0.054,,,,,,,reality,0.053
62,willing,0.065,beta,0.063,economic,0.04,,,,,government,0.053,,,marketing,0.041,existing,0.052,,,higher,0.05,,,,,offer,0.054,,,,,,,reinforcing,0.053
63,xiong,0.065,directly,0.063,economy,0.04,,,,,hsieh,0.053,,,medium,0.041,give,0.052,,,hypothesis,0.05,,,,,offering,0.054,,,,,,,requirement,0.053
64,abnormal,0.057,lead,0.063,holding,0.04,,,,,hypothetically,0.053,,,nonexistent,0.041,intensity,0.052,,,performance,0.049,,,,,positive,0.054,,,,,,,rise,0.053
65,barber,0.057,loss,0.063,income,0.04,,,,,increasing,0.053,,,parsimonious,0.041,literature,0.052,,,controlling,0.046,,,,,systematic,0.054,,,,,,,specialized,0.053
66,cause,0.057,overconfidence,0.063,based,0.037,,,,,instrument,0.053,,,purchase,0.041,mian,0.052,,,covenant,0.046,,,,,expected,0.052,,,,,,,speculator,0.053
67,constraint,0.057,pay,0.063,one,0.037,,,,,investigation,0.053,,,quantitatively,0.041,ols,0.052,,,degree,0.046,,,,,manager,0.052,,,,,,,spiral,0.053
68,extreme,0.057,selling,0.063,provide,0.037,,,,,johnson,0.053,,,rationally,0.041,placebo,0.052,,,enforcement,0.046,,,,,percent,0.052,,,,,,,subject,0.053
69,face,0.057,turn,0.063,using,0.037,,,,,jones,0.053,,,regarded,0.041,sector,0.052,,,entrepreneur,0.046,,,,,preference,0.052,,,,,,,suddenly,0.053
70,first,0.057,doe,0.057,factor,0.035,,,,,klenow,0.053,,,remains,0.041,securitized,0.052,,,formally,0.046,,,,,run,0.052,,,,,,,testable,0.053
71,generates,0.057,higher,0.057,measure,0.035,,,,,language,0.053,,,represent,0.041,squeeze,0.052,,,identified,0.046,,,,,show,0.052,,,,,,,textbook,0.053
72,impact,0.057,low,0.057,pricing,0.035,,,,,location,0.053,,,reproduce,0.041,survey,0.052,,,identify,0.046,,,,,performance,0.049,,,,,,,traded,0.053
73,institutional,0.057,preference,0.057,result,0.035,,,,,microdata,0.053,,,respond,0.041,threshold,0.052,,,integrated,0.046,,,,,documented,0.048,,,,,,,almost,0.046
74,motivated,0.057,rather,0.057,find,0.032,,,,,narrowly,0.053,,,sirri,0.041,used,0.052,,,integration,0.046,,,,,evidence,0.048,,,,,,,anomaly,0.046
75,net,0.057,sell,0.057,period,0.032,,,,,others,0.053,,,skill,0.041,show,0.049,,,joint,0.046,,,,,exhibit,0.048,,,,,,,approach,0.046
76,odean,0.057,strong,0.057,portfolio,0.03,,,,,partially,0.053,,,socially,0.041,across,0.048,,,lopez,0.046,,,,,horizon,0.048,,,,,,,availability,0.046
77,reduce,0.057,appear,0.053,although,0.028,,,,,persisted,0.053,,,though,0.041,information,0.048,,,maturity,0.046,,,,,index,0.048,,,,,,,bad,0.046
78,regarding,0.057,long,0.053,assumption,0.028,,,,,physical,0.053,,,tufano,0.041,level,0.048,,,porta,0.046,,,,,per,0.048,,,,,,,business,0.046
79,search,0.057,lower,0.053,autoregressive,0.028,,,,,plant,0.053,,,type,0.041,market,0.047,,,reputation,0.046,,,,,persistence,0.048,,,,,,,delong,0.046
80,thus,0.057,test,0.053,aversion,0.028,,,,,quantify,0.053,,,unrewarded,0.041,approach,0.045,,,silanes,0.046,,,,,ratio,0.048,,,,,,,destabilizing,0.046
81,trade,0.057,cost,0.049,bansal,0.028,,,,,reallocated,0.053,,,wasteful,0.041,benefit,0.045,,,theoretical,0.046,,,,,several,0.048,,,,,,,distress,0.046
82,transaction,0.057,effect,0.049,bill,0.028,,,,,resource,0.053,,,attention,0.036,collateral,0.045,,,zingales,0.046,,,,,shareholder,0.048,,,,,,,diverge,0.046
83,uncertainty,0.057,explain,0.049,class,0.028,,,,,robinson,0.053,,,benchmark,0.036,creditor,0.045,,,show,0.044,,,,,measure,0.045,,,,,,,documented,0.046
84,buy,0.051,level,0.049,cochrane,0.028,,,,,settle,0.053,,,berk,0.036,empirically,0.045,,,across,0.042,,,,,variation,0.045,,,,,,,empirically,0.046
