,5,5,3,3,7,7,2,2,4,4,6,6,1,1
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,anelasticity,0.403,heat,0.362,kanamori,0.647,crust,0.332,plate,0.522,accretionary,0.263,isotopic,0.408
1,temperature,0.334,water,0.291,arc,0.216,wave,0.249,motion,0.417,dahlen,0.263,chondrite,0.302
2,derivative,0.322,ocean,0.172,back,0.216,rock,0.216,model,0.292,davis,0.263,composition,0.214
3,anharmonicity,0.242,plateau,0.166,energy,0.216,anisotropy,0.187,heterogeneity,0.195,experiment,0.263,mantle,0.204
4,wave,0.229,uplift,0.166,hank,0.216,splitting,0.187,slab,0.176,imposed,0.263,hotspot,0.189
5,anomaly,0.201,flow,0.162,magnitude,0.216,mantle,0.177,toroidal,0.176,laboratory,0.263,evolution,0.188
6,significantly,0.201,global,0.155,mode,0.216,crustal,0.175,poloidal,0.147,limit,0.263,oceanic,0.163
7,mantle,0.174,lithosphere,0.155,moment,0.216,velocity,0.173,cenozoic,0.146,suppe,0.263,basalt,0.157
8,due,0.171,mantle,0.146,opening,0.216,composition,0.166,dynamic,0.146,thrust,0.263,chur,0.151
9,low,0.161,olivine,0.133,release,0.216,dmm,0.164,mantle,0.127,wedge,0.263,unequilibrated,0.151
10,single,0.161,source,0.133,scale,0.216,granulite,0.164,observed,0.122,belt,0.218,system,0.134
11,velocity,0.149,oceanic,0.128,uyeda,0.216,average,0.155,force,0.118,brace,0.218,depaolo,0.113
12,alone,0.134,monsoon,0.104,earthquake,0.153,deformation,0.136,boundary,0.109,fold,0.218,hemisphere,0.113
13,correction,0.134,observation,0.104,great,0.153,element,0.136,global,0.098,kohlstedt,0.218,hofmann,0.113
14,crystal,0.134,tibet,0.104,subduction,0.153,mafic,0.117,especially,0.088,mechanic,0.218,origin,0.113
15,larger,0.134,tibetan,0.104,,,middle,0.117,geoid,0.088,lithospheric,0.187,planetary,0.113
16,pressure,0.134,depth,0.103,,,type,0.116,understanding,0.088,stress,0.187,terrestrial,0.113
17,shear,0.114,increase,0.103,,,lower,0.115,change,0.083,,,wasserburg,0.113
18,important,0.099,ridge,0.103,,,component,0.099,derived,0.083,,,implication,0.094
19,seismic,0.099,similar,0.103,,,shear,0.099,subduction,0.083,,,parameter,0.094
20,amplitude,0.081,viscosity,0.103,,,depth,0.097,history,0.073,,,type,0.094
21,anharmonic,0.081,earth,0.102,,,trace,0.097,bend,0.059,,,crust,0.08
22,considered,0.081,plate,0.088,,,facies,0.093,collision,0.059,,,variation,0.08
23,contribution,0.081,field,0.086,,,intermediate,0.093,driving,0.059,,,chondritic,0.076
24,double,0.081,analysis,0.083,,,proportion,0.093,emperor,0.059,,,decay,0.076
25,elastic,0.081,atmosphere,0.083,,,section,0.093,explain,0.059,,,distinct,0.076
26,forsterite,0.081,circulation,0.083,,,continental,0.083,however,0.059,,,equilibrated,0.076
27,imply,0.081,elevation,0.083,,,basalt,0.078,last,0.059,,,hamilton,0.076
28,importance,0.081,indicate,0.083,,,heat,0.078,mesozoic,0.059,,,isotope,0.076
29,interpretation,0.081,loss,0.083,,,provide,0.078,myr,0.059,,,lead,0.076
30,karato,0.081,removal,0.083,,,anisotropic,0.07,partitioning,0.059,,,onion,0.076
31,kumazawa,0.081,upper,0.074,,,birch,0.07,predicts,0.059,,,ordinary,0.076
32,modulus,0.081,extraction,0.069,,,composed,0.07,reproduce,0.059,,,petrologic,0.076
33,particularly,0.081,india,0.069,,,depleted,0.07,subducted,0.059,,,planet,0.076
34,shown,0.081,melting,0.069,,,different,0.07,constraint,0.054,,,plume,0.076
35,smaller,0.081,pressure,0.069,,,fast,0.07,present,0.054,,,primary,0.076
36,tomography,0.081,climate,0.062,,,significant,0.07,seismic,0.054,,,shift,0.076
37,anderson,0.067,degree,0.062,,,terrain,0.07,based,0.049,,,sigma,0.076
38,approximately,0.067,equator,0.062,,,deep,0.066,better,0.049,,,tracer,0.076
39,associated,0.067,experimental,0.062,,,model,0.066,comparison,0.049,,,white,0.076
40,basis,0.067,faulting,0.062,,,range,0.066,day,0.049,,,constraint,0.07
41,decrease,0.067,floor,0.062,,,ridge,0.066,field,0.049,,,data,0.07
42,dependence,0.067,heating,0.062,,,upper,0.066,hawaiian,0.049,,,earth,0.07
43,previously,0.067,himalaya,0.062,,,beneath,0.058,largely,0.049,,,average,0.063
44,roughly,0.067,increased,0.062,,,bulk,0.058,topography,0.049,,,bulk,0.063
45,also,0.057,indian,0.062,,,earth,0.058,upon,0.049,,,chemical,0.063
46,compressional,0.057,influenced,0.062,,,measurement,0.058,effect,0.048,,,comparison,0.063
47,deep,0.057,mckenzie,0.062,,,melting,0.058,component,0.042,,,reserved,0.063
48,olivine,0.057,mean,0.062,,,mid,0.058,consistent,0.042,,,right,0.063
49,region,0.057,process,0.062,,,morb,0.058,convection,0.042,,,three,0.063
50,result,0.057,rapid,0.062,,,ocean,0.058,pacific,0.042,,,trace,0.063
51,upper,0.057,relatively,0.062,,,strain,0.058,ratio,0.042,,,model,0.054
52,come,0.05,sclater,0.062,,,show,0.05,stage,0.042,,,range,0.054
53,earth,0.05,solubility,0.062,,,source,0.05,surface,0.042,,,ratio,0.054
54,effect,0.043,spectrum,0.062,,,abyssal,0.047,well,0.042,,,structure,0.054
55,,,strength,0.062,,,amphibolite,0.047,much,0.036,,,study,0.047
56,,,thermal,0.062,,,appears,0.047,almost,0.029,,,ago,0.038
57,,,continental,0.059,,,archean,0.047,although,0.029,,,aimed,0.038
58,,,apparently,0.052,,,balanced,0.047,ambiguous,0.029,,,allegre,0.038
59,,,asia,0.052,,,cause,0.047,analyze,0.029,,,ancient,0.038
60,,,beneath,0.052,,,constitution,0.047,attention,0.029,,,approximation,0.038
61,,,dynamic,0.052,,,craton,0.047,away,0.029,,,assimilation,0.038
62,,,evolution,0.052,,,depletion,0.047,bertelloni,0.029,,,besse,0.038
63,,,measurement,0.052,,,determining,0.047,buoyancy,0.029,,,bouvier,0.038
64,,,melt,0.052,,,experienced,0.047,calculating,0.029,,,bse,0.038
65,,,mid,0.052,,,felsic,0.047,calibration,0.029,,,campbell,0.038
66,,,time,0.052,,,flowing,0.047,chain,0.029,,,carbonaceous,0.038
67,,,lower,0.051,,,formed,0.047,character,0.029,,,choice,0.038
68,,,result,0.044,,,generated,0.047,compare,0.029,,,chronometer,0.038
69,,,structure,0.044,,,hydrous,0.047,comprehensive,0.029,,,combined,0.038
70,,,surface,0.044,,,igneous,0.047,consideration,0.029,,,complex,0.038
71,,,aggregate,0.042,,,incompatible,0.047,conspicuous,0.029,,,contrast,0.038
72,,,amount,0.042,,,kilobars,0.047,constructing,0.029,,,controversial,0.038
73,,,australian,0.042,,,lithology,0.047,decreasing,0.029,,,converge,0.038
74,,,axisymmetric,0.042,,,meta,0.047,entirely,0.029,,,correlate,0.038
75,,,began,0.042,,,metapelites,0.047,equipartitioned,0.029,,,corresponding,0.038
76,,,compositional,0.042,,,parallel,0.047,explained,0.029,,,courtillot,0.038
77,,,conductive,0.042,,,part,0.047,extremely,0.029,,,criterion,0.038
78,,,confining,0.042,,,pattern,0.047,failure,0.029,,,crystallization,0.038
79,,,continent,0.042,,,peridotite,0.047,find,0.029,,,davaille,0.038
80,,,convective,0.042,,,polarization,0.047,fuller,0.029,,,demonstrates,0.038
81,,,discontinuity,0.042,,,primitive,0.047,future,0.029,,,detecting,0.038
82,,,drive,0.042,,,production,0.047,geologic,0.029,,,differentiated,0.038
83,,,dry,0.042,,,representative,0.047,geometry,0.029,,,differentiation,0.038
84,,,dziewonski,0.042,,,xenolith,0.047,hager,0.029,,,dust,0.038
85,,,earlier,0.042,,,zone,0.047,hoc,0.029,,,enstatite,0.038
86,,,eastern,0.042,,,boundary,0.043,hypothesis,0.029,,,evensen,0.038
87,,,harmonic,0.042,,,data,0.043,implied,0.029,,,extension,0.038
88,,,influence,0.042,,,estimate,0.043,implying,0.029,,,finally,0.038
89,,,jordan,0.042,,,layer,0.043,inability,0.029,,,firm,0.038
90,,,latitude,0.042,,,seismic,0.043,induced,0.029,,,flood,0.038
91,,,lepichon,0.042,,,asthenosphere,0.039,interesting,0.029,,,four,0.038
92,,,magnetic,0.042,,,basis,0.039,investigate,0.029,,,fulfill,0.038
93,,,might,0.042,,,chemical,0.039,jerk,0.029,,,gast,0.038
94,,,million,0.042,,,complete,0.039,kinematics,0.029,,,goldstein,0.038
95,,,mpa,0.042,,,content,0.039,lithgow,0.029,,,griffith,0.038
96,,,normal,0.042,,,extent,0.039,main,0.029,,,hafnium,0.038
97,,,northern,0.042,,,high,0.039,midmantle,0.029,,,hampered,0.038
98,,,parson,0.042,,,increase,0.039,minor,0.029,,,hubbard,0.038
99,,,regional,0.042,,,large,0.039,missing,0.029,,,identical,0.038
100,,,remark,0.042,,,lithosphere,0.039,paying,0.029,,,inference,0.038
101,,,respectively,0.042,,,simple,0.039,permit,0.029,,,jacobsen,0.038
102,,,seems,0.042,,,using,0.039,predicted,0.029,,,jochum,0.038
103,,,solidus,0.042,,,within,0.039,progress,0.029,,,kay,0.038
104,,,south,0.042,,,compressional,0.033,providing,0.029,,,kramers,0.038
105,,,southern,0.042,,,derived,0.033,reconstruction,0.029,,,latitudinal,0.038
106,,,strengthened,0.042,,,earthquake,0.033,remains,0.029,,,lutetium,0.038
107,,,strong,0.042,,,flow,0.033,replace,0.029,,,magma,0.038
108,,,strongly,0.042,,,olivine,0.033,requires,0.029,,,material,0.038
109,,,sufficient,0.042,,,region,0.033,richards,0.029,,,meet,0.038
110,,,supplemental,0.042,,,silicate,0.033,seamount,0.029,,,mostly,0.038
111,,,threshold,0.042,,,variation,0.033,self,0.029,,,move,0.038
112,,,weathering,0.042,,,much,0.029,special,0.029,,,narrow,0.038
113,,,without,0.042,,,one,0.029,spin,0.029,,,natural,0.038
114,,,woodhouse,0.042,,,abundance,0.023,straightforward,0.029,,,need,0.038
115,,,boundary,0.038,,,access,0.023,stratigraphic,0.029,,,order,0.038
116,,,estimate,0.038,,,aggregated,0.023,substantially,0.029,,,particular,0.038
117,,,present,0.038,,,aligning,0.023,successfully,0.029,,,particulate,0.038
118,,,study,0.038,,,aligns,0.023,sudden,0.029,,,patchett,0.038
119,,,anomaly,0.034,,,allow,0.023,test,0.029,,,petrogenetic,0.038
120,,,asthenosphere,0.034,,,angle,0.023,thermochemical,0.029,,,planetesimal,0.038
121,,,based,0.034,,,appear,0.023,third,0.029,,,polar,0.038
122,,,belt,0.034,,,approaching,0.023,total,0.029,,,potential,0.038
123,,,cenozoic,0.034,,,areal,0.023,transform,0.029,,,previous,0.038
124,,,crustal,0.034,,,around,0.023,treatment,0.029,,,prior,0.038
125,,,deformation,0.034,,,arrival,0.023,uncertainty,0.029,,,propose,0.038
126,,,dependence,0.034,,,asimow,0.023,unfortunately,0.029,,,quadrupolar,0.038
127,,,distribution,0.034,,,asthenospheric,0.023,westward,0.029,,,resolved,0.038
128,,,estimated,0.034,,,azores,0.023,account,0.024,,,reunion,0.038
129,,,extent,0.034,,,become,0.023,alone,0.024,,,richard,0.038
130,,,fault,0.034,,,belief,0.023,apparently,0.024,,,river,0.038
131,,,indo,0.034,,,best,0.023,asia,0.024,,,science,0.038
132,,,late,0.034,,,budget,0.023,cannot,0.024,,,seufert,0.038
133,,,lateral,0.034,,,called,0.023,changed,0.024,,,seven,0.038
134,,,phenomenon,0.034,,,canonical,0.023,complete,0.024,,,shimizu,0.038
135,,,rheology,0.034,,,causing,0.023,conclude,0.024,,,shocked,0.038
136,,,small,0.034,,,center,0.023,constant,0.024,,,slowly,0.038
137,,,suggests,0.034,,,challenging,0.023,constrained,0.024,,,stacey,0.038
138,,,tectonic,0.034,,,characterize,0.023,correlation,0.024,,,stock,0.038
139,,,waveform,0.034,,,clark,0.023,define,0.024,,,tatsumoto,0.038
140,,,caused,0.029,,,clue,0.023,density,0.024,,,tightly,0.038
141,,,change,0.029,,,community,0.023,develop,0.024,,,together,0.038
142,,,compressional,0.029,,,compared,0.023,early,0.024,,,topic,0.038
143,,,consistent,0.029,,,complicated,0.023,essentially,0.024,,,toward,0.038
144,,,crust,0.029,,,compressibility,0.023,fault,0.024,,,true,0.038
145,,,motion,0.029,,,consisting,0.023,including,0.024,,,two,0.038
146,,,near,0.029,,,constitute,0.023,india,0.024,,,unambiguous,0.038
147,,,pacific,0.029,,,constrains,0.023,indicator,0.024,,,uniform,0.038
148,,,rock,0.029,,,construct,0.023,information,0.024,,,vervoort,0.038
149,,,stress,0.029,,,containing,0.023,intraplate,0.024,,,volcanic,0.038
150,,,constraint,0.026,,,contains,0.023,late,0.024,,,wallrock,0.038
151,,,data,0.026,,,contribute,0.023,level,0.024,,,wander,0.038
152,,,layer,0.026,,,conventional,0.023,mechanic,0.024,,,whereas,0.038
153,,,much,0.026,,,convergent,0.023,numerical,0.024,,,widely,0.038
154,,,seismic,0.026,,,cooling,0.023,past,0.024,,,age,0.031
155,,,abrupt,0.021,,,coupled,0.023,rate,0.024,,,atlantic,0.031
156,,,accelerated,0.021,,,crack,0.023,rather,0.024,,,atmospheric,0.031
157,,,adjacent,0.021,,,cross,0.023,record,0.024,,,cannot,0.031
158,,,advected,0.021,,,crystalline,0.023,rheology,0.024,,,characteristic,0.031
159,,,affect,0.021,,,cycle,0.023,sea,0.024,,,common,0.031
160,,,already,0.021,,,database,0.023,significantly,0.024,,,compilation,0.031
161,,,altering,0.021,,,decompression,0.023,strain,0.024,,,constant,0.031
162,,,altitude,0.021,,,deepest,0.023,thickening,0.024,,,constrained,0.031
163,,,among,0.021,,,delay,0.023,variety,0.024,,,define,0.031
164,,,another,0.021,,,derive,0.023,viscosity,0.024,,,determination,0.031
165,,,applies,0.021,,,difference,0.023,whole,0.024,,,early,0.031
166,,,appreciable,0.021,,,dilatancy,0.023,application,0.021,,,element,0.031
