,2,2,7,7,10,10,6,6,8,8,3,3,9,9,5,5,4,4,1,1
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,element,0.26,association,0.382,linkage,0.356,rna,0.338,heritability,0.278,structure,0.31,haplotype,0.367,expression,0.241,genome,0.242,genome,0.251
1,conserved,0.25,admixture,0.23,map,0.32,seq,0.322,association,0.224,spliced,0.296,imputation,0.347,gencode,0.224,read,0.242,read,0.243
2,genome,0.249,structure,0.224,recombination,0.21,count,0.227,genome,0.186,evm,0.261,method,0.338,chip,0.223,assembly,0.225,assembly,0.231
3,alignment,0.225,mixed,0.215,marker,0.171,tophat,0.227,wide,0.186,genewise,0.261,genotype,0.249,coding,0.223,duplication,0.223,maker,0.194
4,specie,0.21,method,0.202,general,0.164,expression,0.206,trait,0.184,annotation,0.259,panel,0.231,gene,0.221,human,0.213,base,0.187
5,target,0.202,model,0.195,genetic,0.152,differential,0.177,snp,0.161,gene,0.258,data,0.17,annotation,0.193,segmental,0.178,error,0.184
6,sequence,0.187,population,0.179,crossover,0.147,sequencing,0.176,analysis,0.148,eukaryotic,0.222,reference,0.169,seq,0.191,variation,0.174,data,0.18
7,vertebrate,0.168,emma,0.161,hot,0.147,data,0.174,explained,0.139,automated,0.194,phase,0.163,incrnas,0.175,data,0.159,calling,0.174
8,mammalian,0.167,inbred,0.138,spot,0.147,analysis,0.153,study,0.139,evidencemodeler,0.174,association,0.147,protein,0.148,sequence,0.159,sequencing,0.166
9,conservation,0.14,relatedness,0.137,human,0.127,method,0.135,data,0.133,genomewise,0.174,study,0.13,encode,0.13,structural,0.157,cap,0.155
10,site,0.13,genetic,0.133,multipoint,0.127,bioconductor,0.126,van,0.129,predicts,0.174,accuracy,0.109,genome,0.129,short,0.153,quality,0.15
11,micrornas,0.126,study,0.133,ibd,0.122,bowtie,0.126,gwas,0.126,algorithm,0.155,inference,0.109,noncoding,0.127,circos,0.131,program,0.125
12,genomic,0.12,sample,0.123,genome,0.118,deseq,0.126,height,0.121,assemble,0.13,genome,0.108,mac,0.125,cnvs,0.131,sequence,0.118
13,blat,0.112,strain,0.115,analysis,0.109,read,0.117,summary,0.121,protein,0.115,individual,0.105,variation,0.122,copy,0.131,finishing,0.116
14,substitution,0.112,analysis,0.112,haplotype,0.109,gene,0.103,statistic,0.116,alignment,0.104,missing,0.095,data,0.111,velvet,0.131,phrap,0.116
15,region,0.109,data,0.112,pedigree,0.109,alignment,0.09,variant,0.116,evidence,0.104,phasing,0.093,rna,0.111,genomic,0.126,phred,0.116
16,annotation,0.091,efficient,0.109,meiotic,0.098,array,0.086,complex,0.113,system,0.104,impute,0.091,transcript,0.111,novo,0.117,technology,0.101
17,rate,0.091,component,0.103,distance,0.097,galaxy,0.086,test,0.103,program,0.094,imputing,0.091,variant,0.111,rearrangement,0.111,output,0.099
18,human,0.088,approach,0.102,relative,0.097,presence,0.086,method,0.101,allen,0.087,trio,0.091,regulatory,0.106,bac,0.089,canu,0.097
19,kent,0.084,mapping,0.101,resolution,0.097,goseq,0.076,genetic,0.092,approaching,0.087,large,0.089,analysis,0.101,parallel,0.089,consed,0.097
20,tba,0.084,eigenstrat,0.092,total,0.097,huber,0.076,variance,0.092,buell,0.087,genotyped,0.085,human,0.101,scale,0.084,gatk,0.097
21,display,0.083,tree,0.092,population,0.095,normalization,0.076,price,0.088,cdna,0.087,unrelated,0.085,modencode,0.1,bruijn,0.079,accuracy,0.09
22,test,0.083,marker,0.086,show,0.095,smyth,0.076,rare,0.088,clamp,0.087,set,0.081,identify,0.089,created,0.079,generation,0.09
23,segment,0.074,wide,0.086,pair,0.092,voom,0.076,regression,0.088,curation,0.087,wide,0.078,exon,0.085,hotspot,0.079,probability,0.09
24,selection,0.074,exact,0.085,descent,0.083,change,0.075,stratification,0.088,heavily,0.087,accurate,0.074,annotated,0.075,massively,0.079,dna,0.083
25,web,0.073,pedigree,0.085,ceph,0.073,expressed,0.075,gcta,0.087,hmms,0.087,model,0.074,incrna,0.075,microarray,0.079,call,0.082
26,constraint,0.071,organism,0.078,complex,0.073,illumina,0.075,plink,0.087,isoforms,0.087,browning,0.073,public,0.075,paired,0.079,efficient,0.081
27,mirnas,0.07,stratification,0.078,component,0.073,open,0.075,population,0.085,orvis,0.087,marchini,0.073,regulomedb,0.075,penncnv,0.079,maq,0.077
28,utrs,0.07,ancestry,0.076,disequilibrium,0.073,research,0.075,whole,0.085,parse,0.087,unphased,0.073,trans,0.075,contigs,0.078,mummer,0.077
29,method,0.068,applied,0.076,extent,0.073,computational,0.074,correlation,0.077,pasa,0.087,snp,0.071,consortium,0.074,genotyping,0.078,processing,0.077
30,program,0.068,test,0.076,family,0.073,http,0.067,disease,0.077,principled,0.087,thousand,0.065,functional,0.074,length,0.078,tool,0.077
31,variant,0.068,maize,0.069,maternal,0.073,throughput,0.067,sample,0.072,wortman,0.087,cost,0.062,liu,0.074,snp,0.077,trace,0.077
32,functional,0.067,control,0.068,mhc,0.073,align,0.064,goddard,0.069,alternatively,0.074,gwas,0.06,long,0.074,disease,0.07,mapping,0.076
33,aligning,0.062,estimation,0.068,mother,0.073,bioinformatics,0.064,linkage,0.069,birney,0.074,statistical,0.059,affect,0.064,individual,0.07,automated,0.072
34,browser,0.062,family,0.068,rate,0.073,biology,0.064,meta,0.069,configurable,0.074,approach,0.057,brown,0.064,pair,0.07,next,0.072
35,constrained,0.062,fast,0.068,sharing,0.073,memory,0.064,neale,0.069,consensus,0.074,accurately,0.055,detailed,0.064,sequencing,0.07,software,0.069
36,miller,0.06,likelihood,0.068,chromosome,0.066,platform,0.064,skat,0.069,est,0.074,calibrated,0.055,guideline,0.064,bacs,0.067,machine,0.066
37,mouse,0.06,statistic,0.068,structure,0.065,technical,0.064,visscher,0.069,haas,0.074,donnelly,0.055,least,0.064,end,0.067,robust,0.066
38,mrna,0.06,using,0.068,trait,0.065,based,0.061,type,0.065,manual,0.074,howie,0.055,valuable,0.064,graph,0.067,sequencer,0.066
39,track,0.06,based,0.065,eight,0.062,result,0.061,yang,0.065,pertea,0.074,phased,0.055,locus,0.061,wang,0.067,database,0.064
40,analysis,0.057,set,0.065,event,0.062,genome,0.056,large,0.063,rice,0.074,pre,0.055,site,0.061,without,0.067,analysis,0.063
41,gene,0.057,program,0.062,snp,0.06,technology,0.056,estimation,0.062,weighted,0.074,flexible,0.054,experiment,0.059,information,0.064,large,0.063
42,ail,0.056,speed,0.061,ratio,0.055,transcript,0.056,individual,0.062,zhu,0.074,sample,0.054,experimental,0.059,region,0.064,new,0.063
43,blastz,0.056,genome,0.059,high,0.054,sequence,0.051,score,0.062,accurate,0.071,stephen,0.054,quality,0.059,architecture,0.058,framework,0.062
44,blockset,0.056,mouse,0.059,model,0.054,anders,0.05,causal,0.059,sequence,0.071,new,0.052,signal,0.059,deletion,0.058,project,0.062
45,clade,0.056,principal,0.059,study,0.054,application,0.05,patterson,0.059,used,0.071,marker,0.049,display,0.056,fine,0.058,annotate,0.058
46,effect,0.056,sparse,0.059,association,0.053,assay,0.05,testing,0.059,coding,0.065,challenge,0.048,interpretation,0.056,normal,0.058,contigs,0.058
47,mauve,0.056,computational,0.056,based,0.05,burrow,0.05,tool,0.054,defined,0.065,present,0.047,org,0.056,detection,0.056,create,0.058
48,mirna,0.056,estimate,0.056,data,0.05,collaborative,0.05,anorexia,0.052,durbin,0.065,computational,0.045,approach,0.055,generated,0.056,feature,0.058
49,pipmaker,0.056,map,0.055,arbitrary,0.049,differentially,0.05,attainment,0.052,ensembl,0.065,existing,0.045,set,0.051,identified,0.056,graphical,0.058
50,protein,0.056,account,0.051,extend,0.049,dispersion,0.05,bulik,0.052,final,0.065,information,0.045,bernstein,0.05,analysis,0.053,shotgun,0.058
51,search,0.056,dense,0.051,female,0.049,dramatically,0.05,der,0.052,salzberg,0.065,population,0.045,brain,0.05,large,0.053,toolkit,0.058
52,sensitivity,0.056,false,0.051,gamete,0.049,even,0.05,disequilibrium,0.052,white,0.065,well,0.045,chromatin,0.05,number,0.053,human,0.057
53,threaded,0.056,faster,0.051,histocompatibility,0.049,fusion,0.05,enrichment,0.052,yield,0.065,whole,0.045,derrien,0.05,abyss,0.052,using,0.057
54,tool,0.056,however,0.051,investigation,0.049,lane,0.05,explain,0.052,using,0.064,implemented,0.043,gerstein,0.05,african,0.052,make,0.051
55,coding,0.052,quantitative,0.051,isolated,0.049,life,0.05,ferreira,0.052,combined,0.058,fast,0.041,gonzalez,0.05,albertson,0.052,repeat,0.051
56,type,0.052,problem,0.049,kruglyak,0.049,linear,0.05,finucane,0.052,hidden,0.058,hapmap,0.041,guigo,0.05,bailey,0.052,consensus,0.049
57,multiple,0.051,statistical,0.049,lander,0.049,microarrays,0.05,growth,0.052,markov,0.058,inferring,0.041,harrow,0.05,birol,0.052,eukaryotic,0.049
58,new,0.051,available,0.047,lid,0.049,observation,0.05,heath,0.052,presented,0.058,multipoint,0.041,histone,0.05,cnp,0.052,graph,0.049
59,called,0.05,new,0.047,lod,0.049,ontology,0.05,loh,0.052,report,0.058,van,0.041,hubbard,0.05,cnps,0.052,green,0.049
60,nucleotide,0.05,number,0.047,marshfield,0.049,oshlack,0.05,madden,0.052,combination,0.052,framework,0.039,johnson,0.05,cnv,0.052,need,0.049
61,score,0.05,arabidopsis,0.046,microsatellite,0.049,reproducible,0.05,morris,0.052,complete,0.052,project,0.039,kellis,0.05,displaying,0.052,set,0.047
62,evolutionary,0.048,computationally,0.046,ordered,0.049,science,0.05,polygenicity,0.052,experiment,0.052,analysis,0.037,metadata,0.05,eichler,0.052,short,0.047
63,exon,0.048,correcting,0.046,picture,0.049,trapnell,0.05,ripke,0.052,quality,0.052,beagle,0.037,park,0.05,hybridization,0.052,alignment,0.046
64,galaxy,0.048,emmax,0.046,poly,0.049,ultra,0.05,sullivan,0.052,comprehensive,0.047,clustering,0.037,peptide,0.05,jones,0.052,annotation,0.046
65,haussler,0.048,eskin,0.046,sex,0.049,ultrafast,0.05,human,0.051,correct,0.047,densely,0.037,personal,0.05,mediator,0.052,easily,0.046
66,noncoding,0.048,flow,0.046,strps,0.049,variance,0.05,marker,0.047,demonstrate,0.047,fuchsberger,0.037,putative,0.05,pertz,0.052,genotype,0.046
67,predicted,0.048,formal,0.046,tandem,0.049,weight,0.05,computationally,0.046,highly,0.047,haplotypic,0.037,replication,0.05,pinkel,0.052,improved,0.046
68,preferentially,0.048,haplotyping,0.046,test,0.049,wheeler,0.05,daly,0.046,produce,0.047,imputed,0.037,snyder,0.05,recurrent,0.052,low,0.046
69,rearrangement,0.048,impractical,0.046,variance,0.049,show,0.049,similar,0.046,across,0.039,member,0.037,splicing,0.05,resolution,0.052,sample,0.046
70,regulatory,0.048,merlin,0.046,whole,0.048,using,0.047,analytic,0.044,developed,0.039,pato,0.037,striking,0.05,schein,0.052,score,0.046
71,specific,0.048,possibility,0.046,gene,0.045,estimation,0.045,bakker,0.044,provides,0.039,posterior,0.037,supported,0.05,susceptibility,0.052,also,0.043
72,ucsc,0.048,rapid,0.046,polymorphism,0.044,high,0.045,descent,0.044,similar,0.039,term,0.037,tanzer,0.05,reference,0.051,haplotype,0.043
73,different,0.045,threshold,0.046,disease,0.043,identify,0.045,educational,0.044,tool,0.039,tested,0.037,effect,0.049,size,0.051,includes,0.043
74,dna,0.045,trait,0.046,pattern,0.043,package,0.045,martin,0.044,available,0.035,typed,0.037,particularly,0.049,algorithm,0.046,measure,0.043
75,two,0.045,variance,0.046,affect,0.042,sample,0.045,montgomery,0.044,two,0.035,uncertainty,0.037,population,0.049,high,0.046,phase,0.043
76,wide,0.045,zaitlen,0.046,area,0.042,software,0.045,pathway,0.044,genome,0.032,used,0.037,model,0.046,tool,0.046,pipeline,0.043
77,background,0.042,snp,0.045,class,0.042,study,0.045,based,0.042,human,0.032,estimate,0.036,individual,0.044,array,0.045,programming,0.043
78,cadd,0.042,gene,0.042,construction,0.042,accessible,0.043,estimate,0.042,model,0.032,particularly,0.036,study,0.044,assembled,0.045,variation,0.043
79,caenorhabditis,0.042,human,0.042,develop,0.042,compare,0.043,locus,0.042,present,0.032,probability,0.036,contains,0.042,assembler,0.045,produce,0.042
80,detecting,0.042,algorithm,0.041,guideline,0.042,detail,0.043,power,0.042,provide,0.032,real,0.036,epstein,0.042,comparative,0.045,scale,0.042
81,gerp,0.042,complex,0.041,history,0.042,fold,0.043,set,0.042,,,error,0.033,hypothesis,0.042,cost,0.045,achieves,0.039
82,hardison,0.042,individual,0.041,influence,0.042,goal,0.043,control,0.041,,,genotyping,0.033,manual,0.042,fold,0.045,adaptive,0.039
83,hces,0.042,dataset,0.039,kilobases,0.042,html,0.043,genotype,0.041,,,package,0.033,myers,0.042,inversion,0.045,advance,0.039
84,horizontal,0.042,dissection,0.039,kong,0.042,modeling,0.043,thousand,0.041,,,resource,0.033,outside,0.042,kilobases,0.045,bank,0.039
85,index,0.042,hour,0.039,male,0.042,mrna,0.043,associated,0.039,,,genetic,0.032,practice,0.042,mammalian,0.045,celera,0.039
86,microrna,0.042,inflation,0.039,remarkably,0.042,reproducibility,0.043,component,0.039,,,software,0.032,release,0.042,sharp,0.045,chemistry,0.039
87,neutral,0.042,kang,0.039,second,0.042,splice,0.043,correction,0.039,,,allow,0.031,third,0.042,validated,0.045,cibulskis,0.039
88,phastcons,0.042,significance,0.039,suggested,0.042,spliced,0.043,day,0.039,,,causal,0.031,tissue,0.042,set,0.042,code,0.039
89,phylop,0.042,solution,0.039,sequence,0.04,highly,0.041,identity,0.039,,,central,0.031,ucsc,0.042,chromosomal,0.039,collected,0.039
90,pictar,0.042,spurious,0.039,allele,0.039,novel,0.041,introduce,0.039,,,experimentally,0.031,validation,0.042,facilitate,0.039,correctness,0.039
91,prediction,0.042,structured,0.039,framework,0.039,project,0.041,identified,0.037,,,gain,0.031,association,0.04,illumina,0.039,depristo,0.039
92,predictor,0.042,take,0.039,build,0.036,statistical,0.041,adult,0.035,,,leading,0.031,comprehensive,0.04,insertion,0.039,developer,0.039
93,purifying,0.042,large,0.037,correlation,0.036,allowing,0.038,anttila,0.035,,,match,0.031,generated,0.04,intensity,0.039,discovery,0.039
94,riemer,0.042,multiple,0.037,estimate,0.036,context,0.038,bmi,0.035,,,mccarthy,0.031,sequencing,0.04,making,0.039,ease,0.039
95,rosenbloom,0.042,result,0.037,exact,0.036,empirical,0.038,boehm,0.035,,,myers,0.031,binding,0.037,position,0.039,ewing,0.039
96,subject,0.042,approximate,0.034,group,0.036,org,0.038,bring,0.035,,,outperforms,0.031,correlation,0.037,present,0.039,forward,0.039
97,used,0.04,general,0.034,intensity,0.036,performing,0.038,conditional,0.035,,,version,0.031,expressed,0.037,provide,0.039,garimella,0.039
98,http,0.037,multipoint,0.034,likelihood,0.036,precision,0.038,contribution,0.035,,,one,0.03,feature,0.037,suggests,0.039,hanna,0.039
99,single,0.037,show,0.034,locus,0.036,quantitative,0.038,covariates,0.035,,,allele,0.029,hapmap,0.037,population,0.038,involvement,0.039
100,user,0.037,size,0.034,mapping,0.036,salzberg,0.038,gusev,0.035,,,scale,0.029,modification,0.037,applied,0.035,kernytsky,0.039
101,aligned,0.036,type,0.034,method,0.036,suitable,0.038,hall,0.035,,,abecasis,0.027,prediction,0.037,compared,0.035,mapreduce,0.039
102,comparing,0.036,unified,0.034,quantitative,0.036,web,0.038,henders,0.035,,,describe,0.027,ruan,0.037,density,0.035,massive,0.039
103,increasing,0.036,also,0.031,region,0.036,describe,0.037,hirschhorn,0.035,,,family,0.027,current,0.036,four,0.035,mckenna,0.039
104,plot,0.036,disease,0.031,specific,0.036,estimate,0.037,hoffmann,0.035,,,faster,0.027,region,0.036,genetic,0.035,molecule,0.039
105,query,0.036,provides,0.031,yet,0.036,approach,0.034,joint,0.035,,,find,0.027,small,0.036,hidden,0.035,nanopore,0.039
106,roughly,0.036,ability,0.03,across,0.033,ability,0.033,jrb,0.035,,,frequency,0.027,specific,0.036,line,0.035,pacbio,0.039
107,smit,0.036,block,0.03,approach,0.033,dynamic,0.033,kernel,0.035,,,measure,0.027,also,0.033,markov,0.035,performance,0.039
108,tend,0.036,calculation,0.03,common,0.033,mean,0.033,lindstrom,0.035,,,next,0.027,bias,0.033,previously,0.035,phillippy,0.039
109,based,0.034,density,0.03,individual,0.033,available,0.031,loo,0.035,,,power,0.027,cell,0.033,represented,0.035,principle,0.039
110,data,0.034,directly,0.03,single,0.033,large,0.031,many,0.035,,,show,0.027,database,0.033,study,0.035,raw,0.039
111,describe,0.034,gwas,0.03,accuracy,0.032,set,0.031,muller,0.035,,,small,0.027,disease,0.033,variant,0.035,result,0.039
112,result,0.034,implementation,0.03,block,0.032,alternative,0.03,nervosa,0.035,,,smith,0.027,function,0.033,new,0.032,reverse,0.039
113,identify,0.033,positive,0.03,calculation,0.032,development,0.03,new,0.035,,,strategy,0.027,gwas,0.033,alignment,0.031,scaffolding,0.039
114,computer,0.031,run,0.03,genotyped,0.032,efficient,0.03,nyholt,0.035,,,unified,0.027,http,0.033,called,0.031,sivachenko,0.039
115,ensembl,0.031,time,0.03,improve,0.032,experiment,0.03,paf,0.035,,,using,0.027,improve,0.033,detected,0.031,application,0.038
116,extensive,0.031,unrelated,0.03,line,0.032,identification,0.03,palmer,0.035,,,cluster,0.024,potential,0.033,development,0.031,http,0.038
117,faster,0.031,two,0.028,previously,0.032,length,0.03,partitioning,0.035,,,computationally,0.024,throughput,0.033,effective,0.031,information,0.038
118,general,0.031,accounting,0.027,repeat,0.032,per,0.03,polygenic,0.035,,,estimated,0.024,available,0.03,experimental,0.031,model,0.036
119,individual,0.031,detect,0.027,underlying,0.032,propose,0.03,purcell,0.035,,,generation,0.024,change,0.03,identification,0.031,complete,0.035
120,position,0.031,error,0.027,new,0.03,present,0.028,weedon,0.035,,,higher,0.024,derived,0.03,including,0.031,long,0.035
121,rna,0.031,factor,0.027,result,0.03,provide,0.028,wgas,0.035,,,increase,0.024,new,0.03,map,0.031,rate,0.035
122,similar,0.031,genotype,0.027,additional,0.029,detection,0.027,case,0.034,,,obtained,0.024,one,0.03,polymorphism,0.031,algorithm,0.034
123,known,0.03,implemented,0.027,derived,0.029,dna,0.027,cell,0.034,,,additional,0.022,publicly,0.03,relationship,0.031,high,0.034
124,several,0.03,package,0.027,detect,0.029,genomic,0.027,challenge,0.034,,,available,0.022,resource,0.03,significantly,0.031,provides,0.034
125,statistical,0.03,powerful,0.027,genotype,0.029,known,0.027,estimated,0.034,,,based,0.022,thousand,0.03,using,0.029,already,0.033
126,appropriate,0.028,publicly,0.027,genotyping,0.029,range,0.027,function,0.034,,,control,0.022,two,0.03,dna,0.028,altshuler,0.033
127,baertsch,0.028,rate,0.027,implemented,0.029,achievement,0.025,genotyped,0.034,,,low,0.022,used,0.03,important,0.028,assembler,0.033
128,blast,0.028,signal,0.027,major,0.029,affymetrix,0.025,size,0.034,,,multiple,0.022,demonstrate,0.027,novel,0.028,automatically,0.033
129,characterize,0.028,standard,0.027,nucleotide,0.029,attractive,0.025,small,0.034,,,rate,0.022,fraction,0.027,produce,0.028,bac,0.033
130,clawson,0.028,thousand,0.027,required,0.029,aware,0.025,specific,0.034,,,standard,0.022,genomic,0.027,within,0.028,bottleneck,0.033
131,consider,0.028,widely,0.027,score,0.029,backtracking,0.025,together,0.034,,,chromosome,0.02,identified,0.027,achieving,0.026,condition,0.033
132,coordinate,0.028,allele,0.025,significantly,0.029,barcode,0.025,gene,0.032,,,demonstrate,0.02,project,0.027,acting,0.026,constraint,0.033
133,correlate,0.028,correct,0.025,simple,0.029,barrier,0.025,using,0.032,,,designed,0.02,several,0.027,adoption,0.026,construction,0.033
134,cruz,0.028,currently,0.025,using,0.027,bates,0.025,across,0.031,,,different,0.02,source,0.027,aesthetic,0.026,easy,0.033
135,database,0.028,detection,0.025,comprehensive,0.026,bayes,0.025,common,0.031,,,first,0.02,within,0.027,alternate,0.026,emerging,0.033
136,deficit,0.028,genomic,0.025,difference,0.026,binomial,0.025,developed,0.031,,,highly,0.02,abundance,0.025,argues,0.026,fewer,0.033
137,describes,0.028,identified,0.025,different,0.026,bioc,0.025,easily,0.031,,,problem,0.02,achieved,0.025,arising,0.026,gabriel,0.033
138,elegans,0.028,known,0.025,distribution,0.026,bolstad,0.025,efficient,0.031,,,absolute,0.018,added,0.025,artificial,0.026,goal,0.033
139,elnitski,0.028,level,0.025,example,0.026,break,0.025,functional,0.031,,,accrue,0.018,aken,0.025,ascertainment,0.026,memory,0.033
140,evolution,0.028,related,0.025,first,0.026,capturing,0.025,including,0.031,,,angius,0.018,analyzer,0.025,asian,0.026,organism,0.033
141,four,0.028,simulation,0.025,level,0.026,carey,0.025,relationship,0.031,,,aspect,0.018,analyzes,0.025,ass,0.026,overlapping,0.033
142,gibbs,0.028,adopts,0.023,limited,0.026,cbcb,0.025,variation,0.031,,,attains,0.018,antibody,0.025,bitmap,0.026,pas,0.033
143,insect,0.028,affected,0.023,activity,0.024,ccb,0.025,analyzed,0.029,,,berg,0.018,antisense,0.025,breakpoints,0.026,possible,0.033
144,large,0.028,alexander,0.023,aid,0.024,communicate,0.025,boehnke,0.029,,,best,0.018,applicability,0.025,bucan,0.026,promise,0.033
145,megabase,0.028,another,0.023,almasy,0.024,concern,0.025,brown,0.029,,,boost,0.018,archived,0.025,building,0.026,reliable,0.033
146,mir,0.028,apply,0.023,apparent,0.024,continues,0.025,central,0.029,,,branham,0.018,arisen,0.025,carrying,0.026,rich,0.033
147,multiz,0.028,approximation,0.023,averaged,0.024,core,0.025,collins,0.029,,,breen,0.018,assessed,0.025,cataloging,0.026,understanding,0.033
148,orthologous,0.028,attracted,0.023,avoid,0.024,counting,0.025,confounding,0.029,,,broader,0.018,aylor,0.025,catalyst,0.026,versatile,0.033
149,pairing,0.028,avoiding,0.023,band,0.024,creation,0.025,cooper,0.029,,,brummett,0.018,balasubramanian,0.025,characterization,0.026,version,0.033
150,pathogenic,0.028,binary,0.023,barnard,0.024,dettling,0.025,focus,0.029,,,burden,0.018,baren,0.025,circular,0.026,available,0.031
151,pathogenicity,0.028,birth,0.023,bernardi,0.024,discreteness,0.025,frayling,0.029,,,busonero,0.018,barnes,0.025,clark,0.026,correct,0.031
152,phylo,0.028,briggs,0.023,beyond,0.024,document,0.025,include,0.029,,,carry,0.018,barr,0.025,coincide,0.026,designed,0.031
153,phylogenetic,0.028,buckler,0.023,breakdown,0.024,dudoit,0.025,inflation,0.029,,,centre,0.018,barrell,0.025,collectively,0.026,amount,0.029
154,phylogeny,0.028,cardon,0.023,broman,0.024,elli,0.025,management,0.029,,,chan,0.018,beazley,0.025,configuration,0.026,capability,0.029
155,predicting,0.028,carried,0.023,budding,0.024,enabling,0.025,mass,0.029,,,che,0.018,bickel,0.025,confined,0.026,coverage,0.029
156,preferential,0.028,cavalli,0.023,calculated,0.024,enhancement,0.025,mccarthy,0.029,,,chew,0.018,bignell,0.025,connector,0.026,discus,0.029
157,psu,0.028,cherny,0.023,causing,0.024,enters,0.025,perry,0.029,,,closest,0.018,bird,0.025,connors,0.026,five,0.029
158,rank,0.028,coefficient,0.023,cautious,0.024,entry,0.025,peter,0.029,,,cocca,0.018,boychenko,0.025,continent,0.026,gene,0.029
159,regulate,0.028,colleague,0.023,center,0.024,extends,0.025,piw,0.029,,,combining,0.018,boyle,0.025,creates,0.026,position,0.029
